Krylov Iters,Construction Time (s),Solve Time (s),Total Time (s),Tic Toc Time (s)
67,0.10143423080444336,0.38731956481933594,0.4887537956237793,3.859936237335205
67,0.11558651924133301,0.44803309440612793,0.5636196136474609,4.004017353057861
67,0.10706782341003418,0.4152641296386719,0.522331953048706,3.8720149993896484
67,0.15009760856628418,0.4088783264160156,0.5589759349822998,3.8941142559051514
67,0.09984731674194336,0.3918647766113281,0.4917120933532715,3.8151071071624756
67,0.11497807502746582,0.39508581161499023,0.510063886642456,3.7346084117889404
67,0.10284090042114258,0.3958752155303955,0.4987161159515381,3.904428720474243
67,0.10208249092102051,0.4418315887451172,0.5439140796661377,3.8832435607910156
67,0.10306668281555176,0.3860459327697754,0.48911261558532715,3.8877241611480713
67,0.11689639091491699,0.4335944652557373,0.5504908561706543,4.164664268493652
67,0.13661575317382812,0.3717823028564453,0.5083980560302734,3.918745517730713
67,0.12463831901550293,0.45697832107543945,0.5816166400909424,4.111117124557495
67,0.10807919502258301,0.43608689308166504,0.544166088104248,4.24387001991272
67,0.10889101028442383,0.4331629276275635,0.5420539379119873,4.563995599746704
67,0.14980030059814453,0.5707910060882568,0.7205913066864014,4.647273302078247
67,0.10514140129089355,0.3990178108215332,0.5041592121124268,3.8909687995910645
67,0.1237490177154541,0.4603257179260254,0.5840747356414795,4.2122673988342285
67,0.12244153022766113,0.42320895195007324,0.5456504821777344,4.064818382263184
67,0.1306476593017578,0.4364125728607178,0.5670602321624756,4.190388917922974
67,0.10036468505859375,0.4176661968231201,0.5180308818817139,4.271286487579346
67,0.11848664283752441,0.40617918968200684,0.5246658325195312,4.016280889511108
67,0.10943841934204102,0.40573573112487793,0.515174150466919,4.06414270401001
67,0.11191797256469727,0.41684770584106445,0.5287656784057617,3.9914112091064453
67,0.12880516052246094,0.39798426628112793,0.5267894268035889,3.999213218688965
67,0.10892868041992188,0.4411659240722656,0.5500946044921875,4.045391321182251
67,0.1226344108581543,0.44176650047302246,0.5644009113311768,4.007162094116211
67,0.10678386688232422,0.41217637062072754,0.5189602375030518,3.9224421977996826
67,0.1536409854888916,0.42392706871032715,0.5775680541992188,4.100249767303467
67,0.13962602615356445,0.41521120071411133,0.5548372268676758,4.102260112762451
67,0.11253094673156738,0.4288642406463623,0.5413951873779297,3.9345555305480957
67,0.13548040390014648,0.42315101623535156,0.558631420135498,4.0941972732543945
67,0.11981320381164551,0.45867228507995605,0.5784854888916016,4.005638360977173
67,0.14038586616516113,0.40659332275390625,0.5469791889190674,4.1868813037872314
67,0.11854815483093262,0.41433000564575195,0.5328781604766846,3.971282482147217
67,0.12171292304992676,0.4028501510620117,0.5245630741119385,4.12328028678894
67,0.14469552040100098,0.40437817573547363,0.5490736961364746,3.9880754947662354
67,0.13079118728637695,0.4105546474456787,0.5413458347320557,4.065346717834473
67,0.10781407356262207,0.38039636611938477,0.48821043968200684,3.811253309249878
67,0.11858201026916504,0.4046320915222168,0.5232141017913818,4.036508083343506
67,0.10904550552368164,0.3893115520477295,0.49835705757141113,4.119909286499023
